Reference, Value, Footprint
J1,USB_B_Micro,Connector_USB:USB_Micro-B_Molex-105017-0001
U1,AMS1117-3.3,Package_TO_SOT_SMD:SOT-223-3_TabPin2
R4,10k,Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder
C2,10uF,Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder
C3,10uF,Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder
U2,FT231XS,Package_SO:SSOP-20_3.9x8.7mm_P0.635mm
C6,0.1uF,Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder
C1,2.2uF,Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder
R5,0R,Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder
R6,0R,Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder
D2,LED,LED_SMD:LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder
Q1,SS8050,Package_TO_SOT_SMD:SOT-23
Q2,SS8050,Package_TO_SOT_SMD:SOT-23
R7,10k,Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder
SW1,SW_Push,Button_Switch_SMD:SW_Push_1P1T-SH_NO_CK_KMR2xxG
R1,0R,Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder
C4,0.1uF,Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder
SW2,SW_Push,Button_Switch_SMD:SW_Push_1P1T-SH_NO_CK_KMR2xxG
R2,0R,Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder
C5,0.1uF,Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder
U3,ESP32-PICO-D4,Package_DFN_QFN:QFN-48-1EP_7x7mm_P0.5mm_EP5.3x5.3mm
R3,10k,Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder
R8,10K,Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder
C7,0.1uF,Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder
R9,10K,Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder
C10,100nF,Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder
C17,100nF,Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder
C16,100nF,Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder
C15,100nF,Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder
C14,100nF,Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder
C13,100nF,Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder
C12,100nF,Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder
C11,100nF,Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder
D1,D_Schottky_Small,Diode_SMD:D_1206_3216Metric_Pad1.42x1.75mm_HandSolder
U4,MAX7219,MAX7219:SOIC24
R10,10k,Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder
R11,10k,Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder
C8,.1uF,Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder
C9,10uF,Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder
J3,Conn_01x08_Female,Connector_PinSocket_2.54mm:PinSocket_1x08_P2.54mm_Vertical
J2,Conn_01x08_Female,Connector_PinSocket_2.54mm:PinSocket_1x08_P2.54mm_Vertical
R12,2K,Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder
D3,LED,LED_SMD:LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder
